Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
FossaSat-1,福萨卫星1号,Fossa Systems,Spain,PocketQube 1p,12/6/19,"Reentered, Semi-operational",Testing of a new experimental RF chirp modulation called LoRa.,sat/fossasat.html,https://www.nanosats.eu/sat/fossasat.html,
"NOOR 1-A (NOOR1-A, Unicorn-2B)",努尔1A,Stara Space,US,PocketQube 3p,12/6/19,"Reentered, No signal",Proof of concept for an eventual constellation,sat/noor.html,https://www.nanosats.eu/sat/noor.html,
"SMOG-P (SMOG-1, BME-1, Magyar-OSCAR 105, MO-105)",烟雾P号,Budapest University of Technology and Economics,Hungary,PocketQube 2p,12/6/19,"Reentered, Operational",Spectrum monitoring payload to make a global map of spectrum usage.,sat/smog-p.html,https://www.nanosats.eu/sat/smog-p.html,
"TRSI Satellite (PQ Sat, TRSI, TRSI-Sat)",TRSI卫星1号,ACME AtronOmatic (MyRadar),Germany,PocketQube 1p,12/6/19,"Reentered, No signal",Radio waterfall experiment and analyze RF reception capabilities from LEO.,sat/trsi.html,https://www.nanosats.eu/sat/trsi.html,
"Tianyi-16 (TY-16, Double Star)",天仪十六号,Spacety,China,6U,12/7/19,Operational,Medium-resolution remote sensing satellites.,sat/tianyi-16-17.html,https://www.nanosats.eu/sat/tianyi-16-17.html,
"Commtrail (Tyvak-0092, NANOVA)",那诺瓦,Elbit Systems,Israel,3U,12/11/19,"Operational, ?","UHF communication payload providing a direct satellite link for data, voice and text messaging for commercial constellation demonstration.",sat/commtrail.html,https://www.nanosats.eu/sat/commtrail.html,
"Duchifat-3 (Duchifat3, Hoopoe 3)",杜希法特3号,Herzliya Science Center,Israel,3U,12/11/19,Operational,1) High-school students educational satellite (2) on-board camera for Earth imaging (3) amateur radio transponder and APRS digipeater.,sat/duchifat3.html,https://www.nanosats.eu/sat/duchifat3.html,
"Hera-1 (1HOPSat TD, IHOPSAT-TD, 1st-generation High Optical Performance Satellite)",第一代高光学性能卫星技术演示仪,Hera Systems,US,12U,12/11/19,Unknown,Commercial constellation for Earth observation.,sat/hera.html,https://www.nanosats.eu/sat/hera.html,
"Pathfinder Risk Reduction (Tyvak-0129, PTHFDR, PTD-0, Pathfinder Technology Demonstrator, Pony Express 1)",探路风险降低器,NASA Ames Research Center,US,6U,12/11/19,Operational,Demonstrating next-generation Tyvak 6U spacecraft and flying Pony Express hosted payload from Lockheed Martin.,sat/ptd-0.html,https://www.nanosats.eu/sat/ptd-0.html,
ANGELS (Argos Neo on a Generic Economical and Light Satellite),自主评估局部空间的纳米卫星守护者,CNES,France,12U,12/18/19,Operational,"Argos Neo instrument to collect and locate low-power messages sent by the 20,000 Argos transmitters operating around the globe.",sat/angels.html,https://www.nanosats.eu/sat/angels.html,
"EyeSat (EYE-SAT, EYESAT-NANO)",眼睛-卫星,CNES,France,3U,12/18/19,"Reentered, Operational",Astronomy mission to study the zodiacal light and imaging of the Milky Way.,sat/eyesat.html,https://www.nanosats.eu/sat/eyesat.html,
OPS-SAT (OPSSAT),哦哦卫星,ESA (European Space Agency),Austria,3U,12/18/19,Operational,In-orbit test-bed by ESA for various on-board software applications and technologies.,sat/ops-sat.html,https://www.nanosats.eu/sat/ops-sat.html,
FloripaSat I (FloripaSat-1),弗洛里帕卫星,Federal University of Santa Catarina,Brazil,1U,12/20/19,Operational,Dual RF channel 70 MHz – 6 GHz Software Defined Radio (SDR) with on-board FPGA-based processing.,sat/floripasat-i.html,https://www.nanosats.eu/sat/floripasat-i.html,
"Tianyan-02 (Xingshidai-8, Kehuan shijie hao AI weixing, SciFi World AI satellite, MN10-03?)",星时代8号,ADASPACE,China,6U,12/20/19,Unknown,Earth observation. The satellite apparently has a low res Earth video imager.,sat/mino-space.html,https://www.nanosats.eu/sat/mino-space.html,
DeMi (Deformable Mirror Demonstration),弹性镜,MIT (Massachusetts Institute of Technology),US,6U,2/14/20,"Reentered, Operational",Characterize and calibrate the performance of a MEMS deformable mirror over a longduration on-orbit mission.,sat/demi.html,https://www.nanosats.eu/sat/demi.html,
TechEdSat-10 (TES-10),科技教育卫星10号,NASA Ames Research Center,US,3U,2/14/20,"Reentered, Operational, ?","High temperature, accurate deorbit reentry nanosatellite.",sat/techedsat-10.html,https://www.nanosats.eu/sat/techedsat-10.html,
"Gundam (G-Satellite, G-Sat)",高达卫星,University of Tokyo,Japan,3U,3/7/20,"Reentered, Unknown",Satellite to celebrate Tokyo 2020 Olympics carrying toy figures and taking photos of a screen with Earth in the background.,sat/gundam.html,https://www.nanosats.eu/sat/gundam.html,
"Lynk 04 (ULTP, Lynk CubeSat)",林克测试载荷,Lynk,US,6U,3/7/20,Operational,Conduct the world’s first orbiting cell tower demonstrations for a space-based cellular network.,sat/lynk-04.html,https://www.nanosats.eu/sat/lynk-04.html,
"Quetzal-1 (Guatemala CubeSat, Guatesat-1, GTCube)",危地马拉卫星1号,University of the Valley of Guatemala,Guatemala,1U,3/7/20,"Reentered, Was operational",Educational training and take pictures of Earth plus amateur radio communications.,sat/quetzal-1.html,https://www.nanosats.eu/sat/quetzal-1.html,
"OrCa1 (Orbital Calibration, TDO-2, Technology Demonstration Orbiter, TDO 2 Spacecraft)",碎片跟踪轨道器2号,Georgia Institute of Technology (Georgia Tech),US,12U,3/26/20,"Reentered, Passive",Second CubeSat in GTO. Test orbital debris tracking technologies.,sat/orca1.html,https://www.nanosats.eu/sat/orca1.html,
"NOUR 01 (NOOR, Noor 1)",努尔1号,Iran's Islamic Revolutionary Guards Corps (IRGC),Iran,6U,4/24/20,"Reentered, Operational",Provides the Iranian elite force with the capability to monitor Earth from space.,sat/nour-1.html,https://www.nanosats.eu/sat/nour-1.html,
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),卫星查询拓展及网络演示-骡子,Boston University,US,6U,6/13/20,"No signal, ?, Unknown",Deploys 8 small picosatellites to create space-based wireless network.,sat/andesite.html,https://www.nanosats.eu/sat/andesite.html,
ANDESITE Sensor Node 1,卫星查询拓展及网络演示-节点,Boston University,US,0.38 kg,6/13/20,"On spacecraft, ?",Small satellite with various sensors for distributed measurements deployed from ANDESITE.,sat/andesite-sensor.html,https://www.nanosats.eu/sat/andesite-sensor.html,
RAAF M2 Pathfinder (M2PF),澳大利亚皇家空军任务2寻路者,University of New South Wales (UNSW Canberra),Australia,3U,6/13/20,Operational,Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.,sat/raaf-m2-pathfinder.html,https://www.nanosats.eu/sat/raaf-m2-pathfinder.html,
USA 301,美国301号,National Reconnaissance Office (NRO),US,6U,6/13/20,Unknown,,sat/nro-cubesats.html,https://www.nanosats.eu/sat/nro-cubesats.html,
"BY-2 (BY70-2, Xibaipo, Bayi Kepu Weixing 2)g",“西柏坡号”科普卫星,China Center for Aerospace Science and Technology,China,2U,7/3/20,Unknown,Amateur radio missions.,sat/by-2.html,https://www.nanosats.eu/sat/by-2.html,
Faraday-1,法拉第1号,In-Space Missions,UK,6U,7/4/20,Launch failure,Hosted payload opportunities for early service and technology demonstration.,sat/faraday-1.html,https://www.nanosats.eu/sat/faraday-1.html,
"Tyvak-0172 (SIRION-1, EchoStar 1, Helios 2)",提瓦克0172,EchoStar,US,6U,8/30/20,"Semi-operational, ?",Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.,sat/tyvak-0172.html,https://www.nanosats.eu/sat/tyvak-0172.html,
AMICal Sat (AMICALSAT),阿米卡尔卫星,CSUG-IPAG (Univ. Grenoble Alpes),France,2U,9/2/20,Operational,Observation of the northern and southern lights. Auroral Sparse RGB imaging. Limb and Nadir sighting.,sat/amical-sat.html,https://www.nanosats.eu/sat/amical-sat.html,
"FSSCat A (Phi-Sat-1 A, PhiSat-1, BrainSat, Φ-sat-1, 3Cat-5/A, 3Cat-5A, TYVAK-0161)",三只猫5A,"Polytechnic University of Catalonia (UPC, BarcelonaTECH)",Spain,6U,9/2/20,"Retired, Operational, ?","Demonstrate dual microwave payload, multispectral optical payload and Inter-Satellite Links (ISL) with lasers.",sat/fsscat.html,https://www.nanosats.eu/sat/fsscat.html,
"Kepler 3 TARS (IOD-5, Kepler-2)",开普勒3号,Kepler Communications,Canada,6U,9/2/20,Operational,Pathfinder for upcoming constellation for IoT/M2M and wideband communications.,sat/kepler-tars.html,https://www.nanosats.eu/sat/kepler-tars.html,
"NAPA-1 (RTAF-Sat, RTAFSAT-1, Royal Thai Air Force CubeSat, Firmament-1)",泰国皇家空军1号,Royal Thai Air Force,Thailand,6U,9/2/20,Operational,Earth Observation satellite for Public Protection and Disaster Relief (PPDR).,sat/napa.html,https://www.nanosats.eu/sat/napa.html,
"PICASSO (PICASSO-BEL, Pico-Satellite for Atmospheric and Space Science Observations)",毕加索,Belgian Institute for Space Aeronomy and the Royal Observatory of Belgium.,Belgium,3U,9/2/20,Operational,Retrieve vertical profiles of ozone via Sun occultation and study the ionosphere.,sat/picasso.html,https://www.nanosats.eu/sat/picasso.html,
SIMBA (Sun-earth IMBAlance),日地不平衡卫星,Royal Meteorological Institute of Belgium,Belgium,3U,9/2/20,"Retired, ?, Operational",Measure the Total Solar Irradiance and Earth Radiation Budget climate variables with a miniaturized radiometer instrument.,sat/simba.html,https://www.nanosats.eu/sat/simba.html,
"TRISAT (NANOsky, Misija Trisat)",“三”卫星,University of Maribor,Slovenia,3U,9/2/20,Operational,Demonstrate CubeSat platform technologies and multispectral infrared imager payload.,sat/trisat.html,https://www.nanosats.eu/sat/trisat.html,
"Tyvak-0171 (SIRION-2?, EchoStar 2, Helios 3)",提瓦克0171,EchoStar,US,6U,9/2/20,"Semi-operational, ?",Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.,sat/tyvak-0171.html,https://www.nanosats.eu/sat/tyvak-0171.html,
"Dekart (DECART, Descartes)",德卡特,Moscow State University,Russia,3U,9/28/20,Operational,,sat/descartes.html,https://www.nanosats.eu/sat/descartes.html,
Kepler-4 Antilles,开普勒卫星,Kepler Communications,Canada,6U,9/28/20,Operational,Commercial constellation for IoT/M2M and wideband communications.,sat/kepler-gen1.html,https://www.nanosats.eu/sat/kepler-gen1.html,
LacunaSat-3 (LS-3),空隙卫星3号,Lacuna Space,UK,3U,9/28/20,Operational,Innovative Internet-of-Things (‘IoT’) connectivity-via-satellite payload demonstrator.,sat/lacunasat.html,https://www.nanosats.eu/sat/lacunasat.html,
MeznSat,梅兹恩卫星,Masdar Institute of Science and Technology,United Arab Emirates,3U,9/28/20,Operational,Short-Wave Infra-Red (SWIR) spectrometer for CO2 and Methane measurements in the atmosphe.,sat/meznsat.html,https://www.nanosats.eu/sat/meznsat.html,
NetSat-1,网卫星1号,Zentrum für Telematik,Germany,3U,9/28/20,Operational,"4 satellite formation flying mission. Distributed computing capabilities, formation control, DTNs, MANets.",sat/netsat.html,https://www.nanosats.eu/sat/netsat.html,
Norbi (Norby),诺比,Novosibirsk State University,Russia,6U,9/28/20,Operational,,sat/norbi.html,https://www.nanosats.eu/sat/norbi.html,
"Yarilo N1 (Yarilo-1, Yareelo, Yareelo-1 Yarilo A, Yarilo No. 1, Yareelo №1, BMSTU-Sail)",亚里洛1号,Bauman Moscow State Technical University,Russia,1.5U,9/28/20,Operational,Continuous monitoring of solar activity and a solar sail for orbit control.,sat/yarilo.html,https://www.nanosats.eu/sat/yarilo.html,
Bobcat-1,山猫1号,Ohio University,US,3U,10/3/20,"Reentered, Operational",Educational mission and estimating GNSS inter-constellation time offsets.,sat/bobcat-1.html,https://www.nanosats.eu/sat/bobcat-1.html,
Descent-A Mother (Deorbiting Spacecraft using Electrodynamic Tether),下降-母亲,York University,Canada,1U,10/3/20,"Reentered, No signal",Two 1U-CubeSats connected by a 100m tape electrodynamic tether for deorbiting demonstration.,sat/descent.html,https://www.nanosats.eu/sat/descent.html,
Lemur-2 124 Djara (Lemur 4.7),狐猴2-124,Spire,US,3U,10/3/20,"Reentered, Operational","Constellation for GPS-RO weather data, AIS and ADS-B.",sat/lemur-2-djara.html,https://www.nanosats.eu/sat/lemur-2-djara.html,
NEUTRON-1 (Low Earth Orbit Neutron Flux Detection and Cosmos Mission Operations Technology Demo),中子1号,University of Hawai’i at Mānoa,US,3U,10/3/20,"Reentered, Semi-operational, ?",Measure low energy neutron flux in LEO.,sat/neutron-1.html,https://www.nanosats.eu/sat/neutron-1.html,
"SATLLA-1 (SAT-LLA, SATTLA 1.0)",萨特拉1号,Ariel University,Israel,1U,10/3/20,"Reentered, No signal",Educational amateur radio with high-power LEDs for optical communication.,sat/satlla.html,https://www.nanosats.eu/sat/satlla.html,
"SPOC (SpOC, SpecOcean, SPOC Sat, Spectral Ocean Color Satellite)",海洋光谱色彩卫星,University of Georgia,US,2U,10/3/20,"Reentered, Was operational",Perform the first moderate resolution multispectral analysis of coastal ecosystems and ocean color.,sat/spoc.html,https://www.nanosats.eu/sat/spoc.html,
Beihangkongshi 1 (TY 20),北航空事卫星一号,Spacety,China,12U,11/6/20,"Reentered, Operational",First iodine electric propulsion systems that will be tested in space and laser communications module.,sat/beihangkongshi-1.html,https://www.nanosats.eu/sat/beihangkongshi-1.html,
"R2 (R-2, M6P 2, OMS, TRAIL-1, LacunaSat)",空隙卫星,NanoAvionics,Lithuania,6U,11/7/20,Operational,Hosted payload rideshare mission. Fly OMS’s miniaturized passive microwave sensors and propulsion system demonstrator from Exotrail?,sat/m6p-2.html,https://www.nanosats.eu/sat/m6p-2.html,
"APSS-1 QuakeTEC (APSS-I, Te Waka Āmiorangi o Aotearoa, the New Zealand satellite vessel)",奥克兰空间系统方案1号,University of Auckland,New Zealand,1U,11/20/20,"No signal, ?",Ionospheric plasma measurements with Langmuir probe.,sat/apss-1.html,https://www.nanosats.eu/sat/apss-1.html,
"Dragracer 1 (Alchemy, Dragracer A)",阻力竞赛者A,TriSept,US,6U (1/2 12U XL),11/20/20,"Reentered, Operational",Test a deployable conductive tape by Tethers Unlimited for deorbiting.,sat/dragracer.html,https://www.nanosats.eu/sat/dragracer.html,
"ET-SMART-RSS (EthSat6U, ET= Ethiopia/ ESSTI and SMART= Beijing Smart Satellite Technology and RSS=Remote Sensing Satellite, Zhixing-1A, Zhixing No. 1 A Star)",埃塞俄比亚-智星空间遥感卫星,Ethiopian Space Science & Technology Institute (ESSTI),Ethiopia,6U,12/22/20,"Reentered, Operational",Provide earth observation services to China and African countries.,sat/et-smart-rss.html,https://www.nanosats.eu/sat/et-smart-rss.html,
Yuanguang (Tiansuan constellation),元光号,Spacety,China,12U,12/22/20,"Operational, ?",12U satellite for scientific experiments of mechanism and tribology in space.,sat/yuanguang.html,https://www.nanosats.eu/sat/yuanguang.html,
"Weina 2 (Micro-Nano Technology Test Satellite, Weina Jishu Shiyan)",微纳技术试验卫星,?,China,6U,12/27/20,Unknown,A nano tech research satellite.,sat/weina-2.html,https://www.nanosats.eu/sat/weina-2.html,
CACTUS-1 (Coordinated Applied Capitol Technology University Satellite),协同启用国会理工大学卫星1号,Capitol Technology University,US,3U,1/17/21,Semi-operational,Technological demonstration of a cost-saving communications and commanding innovation.,sat/cactus-1.html,https://www.nanosats.eu/sat/cactus-1.html,
"CAPE-3 (Cape III, CAPE3)",卡津先进试验皮星3号,University of Louisiana at Lafayette,US,1U,1/17/21,Operational,Educational mission that will fly the Smartphone CubeSat Classroom.,sat/cape-3.html,https://www.nanosats.eu/sat/cape-3.html,
"CP12 (ExoCube 2, ExoCube-2)",加州理工大学12号,California Polytechnic State University (Cal Poly),US,3U,1/17/21,Operational,"Measure in-situ densities of selected ions and neutrals in the upper
ionosphere and lower exosphere.",sat/cp12.html,https://www.nanosats.eu/sat/cp12.html,
"MiTEE-1 (MiTEE-A, MITEE 1, Miniature Tether Electrodynamics Experiment)",微型系留电动力学实验仪,University of Michigan,US,3U,1/17/21,"Reentered, Operational",Assess the feasibility of using miniature electrodynamic (ED) tethers in space as means to provide “propellantless”.,sat/mitee-1.html,https://www.nanosats.eu/sat/mitee-1.html,
"PICS 1 (Passive Inspection CubeSat, PIC-A, PICA)",被动检查立方星1号,Brigham Young University,US,1U,1/17/21,No signal,"Demonstrate performing inspection, maintenance and assembly on another spacecraft plus LED flash array.",sat/pics.html,https://www.nanosats.eu/sat/pics.html,
PolarCube,极地立方星,University of Colorado Boulder,US,3U,1/17/21,"Reentered, Operational",Demonstrating atmospheric sounding and sea ice/ice-free ocean detection and mapping over the Polar Regions.,sat/polarcube.html,https://www.nanosats.eu/sat/polarcube.html,
"Q-PACE (QPACE, Cu-PACE, CubeSat Particle Aggregation and Collision Experiment)",粒子聚合和碰撞实验立方星,University of Central Florida,US,3U,1/17/21,No signal,Producing tens of thousands of collisions simulating the first steps in planet formation.,sat/q-pace.html,https://www.nanosats.eu/sat/q-pace.html,
RadFXSat-2 (Fox-1E),狐狸1E,Vanderbilt University,US,3U,1/17/21,Semi-operational,"Demonstrate a short interval, cost-effective, on-orbit platform for qualification of components for space.",sat/radfxsat-2.html,https://www.nanosats.eu/sat/radfxsat-2.html,
TechEdSat-7 (TES-7),科技教育卫星7号,NASA Ames Research Center,US,2U,1/17/21,"Was operational, ?",Further develop the Exo-Brake system and demonstrate CubeSat Identity Tag (CUBIT) by DARPA.,sat/techedsat-7.html,https://www.nanosats.eu/sat/techedsat-7.html,
ARCE-1A (Articulated Reconnaissance and Communications Expedition – 1),铰接式侦察通信远征者1A,University of South Florida,US,0.5U,1/24/21,Operational,Three identical CubeSats for inter-satellite networked communications research.,sat/arce.html,https://www.nanosats.eu/sat/arce.html,
ASELSAT,阿赛尔星,ITU (Istanbul Technical University),Turkey,3U,1/24/21,"Operational, ?",Earth observation mission with X-band downlink system.,sat/aselsat.html,https://www.nanosats.eu/sat/aselsat.html,
Astrocast 3 (Astrocast-0101),天文投射0101,Astrocast,Switzerland,3U,1/24/21,Operational,Constellation for IoT/M2M services.,sat/astrocast.html,https://www.nanosats.eu/sat/astrocast.html,
Charlie (All-Charlie),极光洞察C,Aurora Insight,US,6U,1/24/21,Operational,Take trillions of measurements to produce valuable information on RF spectrum and the networks that rely on it.,sat/aurora-insight.html,https://www.nanosats.eu/sat/aurora-insight.html,
"IDEASSat (Flying Squirrel, Feishu Weixing, INSPIRESat-2, Ionospheric Dynamics Explorer and Attitude Subsystem Satellite, INternational Satellite Program In Research and Education Satellite)",飞鼠卫星,National Central University,Taiwan,3U,1/24/21,Operational,Measure ionospheric structure and plasma irregularities for radio communications monitoring. Compact ionosphere probe.,sat/ideassat.html,https://www.nanosats.eu/sat/ideassat.html,
Lemur-2 132 Mango1 (Mango One),狐猴卫星2-132,Spire,US,3U,1/24/21,Operational,"Demonstrate and qualify radar, communications and intelligence capabilities in space.",sat/lemur-mango.html,https://www.nanosats.eu/sat/lemur-mango.html,
"PIXL-1, (Photo Images Cross Laser, CubeL PIXL, CubeL, OSIRIS4CubeSat)",奥西里斯4号立方星,DLR (German Aerospace Center),Germany,3U,1/24/21,Operational,Demonstration of the OSIRIS optical demonstration payload for CubeSats.,sat/pixl-1.html,https://www.nanosats.eu/sat/pixl-1.html,
"PTD-1 (HYDROS, PTHFDR, Pathfinder Technology Demonstrator, NASA PTD-1)",寻路技术演示器1号,NASA Ames Research Center,US,6U,1/24/21,"Was operational, ?",Demonstrate propulsion systems and CubeSat platform technologies.,sat/ptd-1.html,https://www.nanosats.eu/sat/ptd-1.html,
"UVSQ-Sat (UVSQSAT, UV & IR Sensors at high Quantum efficiency onboard a small SATellite)",高量子紫外线-红外传感小卫星,University of Versailles Saint-Quentin-en-Yvelines (UVSQ),France,1U,1/24/21,Operational,Measure solar radiation and educational mission.,sat/uvsq-sat.html,https://www.nanosats.eu/sat/uvsq-sat.html,
V-R3x 1 (Littlefoot),V-R3x 1,Carnegie Mellon University,US,1U,1/24/21,Was operational,"Demonstrate new technologies for networked communication, relative navigation, formation flying, and swarming.",sat/v-r3x.html,https://www.nanosats.eu/sat/v-r3x.html,
"YUSAT-1 (Yushan-1 CubeSat, Yushan Weixing, Yushan Satellite 1)",玉山一号,National Taiwan Ocean University,Taiwan,1.5U,1/24/21,Operational,AIS payload instrument for marine vessels monitoring for navigation safety and position reporting application.,sat/yusat-1.html,https://www.nanosats.eu/sat/yusat-1.html,
"GuaraniSat-1 (Guarani-1, BIRDS-4)",瓜拉尼1号,Kyushu Institute of Technology,Paraguay,1U,2/20/21,"Reentered, Operational, ?",Educational and amateur radio mission.,sat/guaranisat-1.html,https://www.nanosats.eu/sat/guaranisat-1.html,
Gunsmoke-J 2 (Jacob's Ladder),硝烟J2,US Army Space and Missile Defense Command,US,3U,2/20/21,"Reentered, Operational",Demonstrate a diverse situational awareness capability from LEO that will directly benefit the Army Warfighter in theater.,sat/gunsmoke-j.html,https://www.nanosats.eu/sat/gunsmoke-j.html,
"IT-SPINS (Spacebuoy, Ionospheric-Thermospheric Scanning Photometer for Ion-Neutral Studies )",太空浮标,Montana State University,US,3U,2/20/21,Semi-operational,Provide the first two-dimensional (2D) tomographic imaging addressing the basic nature of the nocturnal ionosphere.,sat/it-spins.html,https://www.nanosats.eu/sat/it-spins.html,
Maya-2 (BIRDS-4),玛雅2号,Kyushu Institute of Technology,Philippines,1U,2/20/21,"Reentered, Operational, ?",Educational and amateur radio mission.,sat/maya-2.html,https://www.nanosats.eu/sat/maya-2.html,
MYSAT-2 (DhabiSat),阿布扎比卫星,Khalifa University of Science and Technology,United Arab Emirates,2U,2/20/21,"Semi-operational, Was operational, ?",Educational training plus small camera for vegetation monitoring and new type of battery.,sat/mysat-2.html,https://www.nanosats.eu/sat/mysat-2.html,
"OPUSAT-II (Hirogari, OPUSAT-2)",大阪府立大学卫星2号,Osaka Prefecture University,Japan,2U,2/20/21,"Reentered, Operational",Demonstration of high-speed data transmission in amateur radio band and on-orbit shape measurement system.,sat/opusat-ii.html,https://www.nanosats.eu/sat/opusat-ii.html,
ORCA-6 (OrCa1),欧卡6号,Los Alamos National Laboratory (LANL),US,1.5U,2/20/21,"Reentered, Operational, ?",,sat/unknown.html,https://www.nanosats.eu/sat/unknown.html,
"RSP-01 (RymanSat Project, Selfie-sh)",莱曼卫星计划01,Rymansat Project (Lehman Sat),Japan,1U,2/20/21,"Reentered, Semi-operational, Was operational, ?","Send the picture of satellite itself, taken by onboard camera.",sat/rsp-01.html,https://www.nanosats.eu/sat/rsp-01.html,
"STARS-EC A (Space Tethered Autonomous Robotic Satellite, Sanko)",空间绳系自主机器人立方星,Shizuoka University,Japan,1U,2/20/21,"Reentered, Operational",Elevator lifting experiment with 3 satellites connected by tethers,sat/stars-ec.html,https://www.nanosats.eu/sat/stars-ec.html,
"Tausat (TAU-SAT, TAU-Sat 1)",特拉维夫大学卫星1号,Herzliya Science Center,Israel,3U,2/20/21,"Reentered, Operational",Educational mission with radiation measurement and amateur radio transponder.,sat/tausat.html,https://www.nanosats.eu/sat/tausat.html,
"ThinSat-2A (Coast Guard 1, MEDO-1, ODU, TSL-1, TU)",薄卫星2A,Virginia Space,US,ThinSat 6x1T,2/20/21,"Reentered, No signal",ThinSat satellite platform for educational training.,sat/thinsat-2.html,https://www.nanosats.eu/sat/thinsat-2.html,
Tsuru (BIRDS-4),鹤野号,Kyushu Institute of Technology,Japan,1U,2/20/21,"Reentered, Operational, ?",Educational and amateur radio mission.,sat/tsuru.html,https://www.nanosats.eu/sat/tsuru.html,
"Warp-01 (Nichirin, Warp-1)",日轮号,WARPSPACE,Japan,1U,2/20/21,"Reentered, Operational, ?",Demonstrate new satellite bus components and custom radio transmitter in space.,sat/warp-1.html,https://www.nanosats.eu/sat/warp-1.html,
"NanoConnect-2 (SAI-1, NANOCONNECT-2/SAI-1)",纳米连接2号,UNAM (National Autonomous University of Mexico),Mexico,2U,2/28/21,"Reentered, Operational",Educational mission to demonstrate spacecraft subsystems in space.,sat/nanoconnect-2-sai-1.html,https://www.nanosats.eu/sat/nanoconnect-2-sai-1.html,
"Saditsat (SKI SATISH DHAWAN SAT, SDSAT. SD Sat, SD'Sat)",萨迪什·达万卫星,Space Kidz India,India,3U,2/28/21,"Reentered, Operational","Educational mission studying space radiation, magnetosphere and demonstrating nanosatellite components.",sat/saditsat.html,https://www.nanosats.eu/sat/saditsat.html,
UNITYSat 1 (JITSat),团结卫星1号,Jeppiaar Institute of Technology,India,0.25U,2/28/21,"Reentered, No signal",UNITY program consisting of 0.25U and later 0.125U CubeSats.,sat/unitysat.html,https://www.nanosats.eu/sat/unitysat.html,
"3B5GSAT (Sateliot-1, 3rd Generation Before 5th Generation Satellite)",卫星1号,Sateliot,Spain,3U,3/22/21,Operational,Constellation for continuous global connectivity for Internet of Things (IoT) under a 5G architecture.,sat/3b5gsat.html,https://www.nanosats.eu/sat/3b5gsat.html,
"Arduiqube DIY1 (DIY-1, DIYSATELLITE, DIY-1/ARDUIQUBE)",DIY1号,DIYSATELLITE,Argentina,PocketQube 1p,3/22/21,"Reentered, Operational",Educational mission to measure the health and attitude of the satellite.,sat/arduiqube.html,https://www.nanosats.eu/sat/arduiqube.html,
BCCSat-1 (Bangkok Christian College Satellites,曼谷基督教学院卫星1号,Bangkok Christian College,Thailand,1U,3/22/21,Operational,World's First Educational Multispectral Cubesat Build by High-School Students,sat/bccsat-1.html,https://www.nanosats.eu/sat/bccsat-1.html,
CANYVAL-C (Pumbaa),韩美天文学立方星C-1,Yonsei University,South Korea,2U,3/22/21,No signal,Imaging the solar corona - including the region that is 10 times the Sun’s angular diameter.,sat/canyval-c-pumbaa.html,https://www.nanosats.eu/sat/canyval-c-pumbaa.html,
CANYVAL-C (Timon),韩美天文学立方星C-2,Yonsei University,South Korea,1U,3/22/21,No signal,Imaging the solar corona - including the region that is 10 times the Sun’s angular diameter.,sat/canyval-c-timon.html,https://www.nanosats.eu/sat/canyval-c-timon.html,
"Centauri-3 (Centauri 3, Tyvak-0210)",半人马座3号,Fleet Space,Australia,6U,3/22/21,Operational,IoT satellite network.,sat/fleet-space.html,https://www.nanosats.eu/sat/fleet-space.html,
Challenge One (ChallengeOne),挑战1号,Telnet,Tunisia,3U,3/22/21,Operational,Scientific research and technology demonstrator satellite for IoT.,sat/challenge-one.html,https://www.nanosats.eu/sat/challenge-one.html,
"CubeSX-HSE (NRU HSE, R13S, Space-PI, Space π)",高等经济大学立方星1号,Moscow Institute of Electronics and Mathematics,Russia,3U,3/22/21,Operational,Educational mission with X-band transmitter.,sat/cubesx-hse.html,https://www.nanosats.eu/sat/cubesx-hse.html,
"CubeSX-Sirius-HSE (MIEM, NIU VShE - DZZ, R14S, Space-PI, Space π)",天狼立方星,Moscow Institute of Electronics and Mathematics,Russia,3U,3/22/21,Operational,Educational mission with X-band transmitter.,sat/cubesx-sirius-hse.html,https://www.nanosats.eu/sat/cubesx-sirius-hse.html,
FEES (Flexible Experimental Embedded Satellite),柔性实验嵌入式卫星,Apogeo Space,Italy,0.3U,3/22/21,Operational,Demonstrate various technologies including Iridium modem and camera.,sat/fees.html,https://www.nanosats.eu/sat/fees.html,
GRBAlpha (GRB-Alpha),伽马射线暴-阿尔法星,Technical University of Kosice,Slovakia,1U,3/22/21,Operational,Educational mission with digipeater and testing gamma-ray burst sensor.,sat/grbalpha.html,https://www.nanosats.eu/sat/grbalpha.html,
KMSL (Korea Microgravity Science Laboratory),韩国微重力科学实验室,Chosun University,South Korea,3U,3/22/21,Operational,Perform a fire experiment in low Earth orbit and biological experiments.,sat/kmsl.html,https://www.nanosats.eu/sat/kmsl.html,
